,popularity_song,explicit,song_type,name,followers,popularity_artist,artist_type,duration_ms,key,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0,85,1,0,0,6313709,94,0,312820,8,1,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,0.446,155.008
1,78,1,0,0,6313709,94,0,150043,0,1,0.283,0.785,0.554,3.4e-06,0.116,-6.571,0.0409,0.144,128.047
2,77,1,0,0,6313709,94,0,270715,8,1,0.00947,0.487,0.789,4.05e-06,0.189,-3.69,0.044,0.0564,150.007
3,69,1,0,0,6313709,94,0,338438,4,0,0.221,0.588,0.567,0.0,0.135,-3.738,0.0628,0.113,150.009
4,74,1,0,0,6313709,94,0,198408,10,0,0.201,0.702,0.708,0.0,0.118,-5.366,0.0547,0.713,147.98
5,76,1,0,0,6313709,94,0,231964,11,0,0.192,0.741,0.645,0.0,0.163,-5.116,0.0963,0.488,149.07
6,68,1,0,0,6313709,94,0,185610,0,0,0.389,0.607,0.609,1.6e-05,0.111,-5.978,0.291,0.556,74.946
7,70,1,0,0,6313709,94,0,218284,1,1,0.0204,0.731,0.811,0.0,0.411,-3.225,0.0712,0.426,147.045
8,67,1,0,0,6313709,94,0,180183,5,0,0.229,0.428,0.403,0.0,0.22,-5.914,0.209,0.133,95.387
9,68,1,0,0,6313709,94,0,196138,4,0,0.173,0.712,0.481,0.0,0.241,-5.415,0.0487,0.062,140.0
10,66,1,0,0,6313709,94,0,156886,2,1,0.0678,0.804,0.763,0.0,0.368,-5.48,0.0519,0.0585,136.052
11,66,1,0,0,6313709,94,0,176720,10,0,0.0462,0.834,0.731,0.0,0.0731,-5.603,0.0566,0.681,140.001
12,67,1,0,0,6313709,94,0,145588,0,0,0.00146,0.46,0.686,0.0,0.375,-5.948,0.0367,0.252,148.054
13,69,1,0,0,6313709,94,0,142969,4,0,0.142,0.7,0.46,4.81e-05,0.111,-8.111,0.0661,0.286,151.901
14,78,0,0,0,6313709,94,0,190557,11,1,0.0531,0.763,0.628,0.0,0.114,-5.85,0.05,0.193,140.958
15,69,1,0,0,6313709,94,0,217828,0,0,0.0985,0.689,0.723,0.0,0.158,-4.052,0.0836,0.288,160.042
16,66,1,0,0,6313709,94,0,209116,5,0,0.0862,0.81,0.582,0.00681,0.207,-5.098,0.125,0.503,95.004
17,82,1,0,0,6313709,94,0,243837,7,1,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,0.43,130.049
18,69,1,0,0,6313709,94,0,213863,7,0,0.24,0.743,0.571,0.0,0.291,-6.054,0.145,0.495,119.054
19,73,1,0,0,6313709,94,0,262693,1,1,0.00767,0.713,0.526,0.000148,0.124,-5.046,0.032,0.131,131.05
20,86,0,0,1,7749228,88,1,190947,5,1,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,0.681,82.014
21,70,0,0,1,7749228,88,1,189187,6,0,0.167,0.491,0.867,0.0,0.458,-2.313,0.103,0.602,167.965
22,67,0,0,1,7749228,88,1,178600,8,1,0.00205,0.57,0.865,0.0,0.404,-4.518,0.0472,0.691,110.01
23,70,0,0,1,7749228,88,1,158667,1,1,0.00302,0.562,0.904,0.0,0.0433,-4.947,0.0807,0.651,94.481
24,73,0,0,1,7749228,88,1,203507,0,1,0.0137,0.462,0.538,0.0,0.429,-5.527,0.059,0.405,139.256
25,64,0,0,1,7749228,88,1,180627,11,1,0.011,0.578,0.886,0.0,0.143,-4.348,0.0633,0.615,80.008
26,71,0,0,1,7749228,88,1,187187,7,1,0.00155,0.572,0.912,1.2e-06,0.102,-4.875,0.0707,0.606,156.073
27,66,0,0,1,7749228,88,1,226680,9,0,0.000362,0.436,0.893,0.0,0.103,-4.18,0.0556,0.0794,124.113
28,71,0,0,1,7749228,88,1,185587,9,0,0.0737,0.566,0.815,0.0,0.12,-4.481,0.14,0.672,169.961
29,49,0,0,1,7749228,88,1,177520,6,0,0.0533,0.501,0.941,0.0,0.358,-3.487,0.199,0.69,170.062
30,63,0,0,2,4682308,81,2,241107,7,1,0.164,0.335,0.625,0.0,0.0708,-7.462,0.0386,0.346,150.277
31,41,0,0,2,4682308,81,2,239800,1,1,0.0434,0.552,0.814,4.85e-06,0.255,-4.302,0.0804,0.21,134.806
32,35,0,0,2,4682308,81,2,224107,2,1,0.277,0.629,0.58,0.0,0.38,-7.233,0.0692,0.557,148.956
33,70,0,0,2,4682308,81,2,242200,10,0,0.0453,0.63,0.48,0.0,0.832,-5.502,0.144,0.427,172.887
34,50,0,0,2,4682308,81,2,207133,6,1,0.122,0.59,0.441,0.0,0.226,-6.128,0.0342,0.271,79.989
35,33,0,0,2,4682308,81,2,221240,10,1,0.0995,0.842,0.543,0.0,0.0548,-5.272,0.293,0.827,146.984
36,50,0,0,2,4682308,81,2,288640,8,1,0.759,0.508,0.318,0.0,0.184,-9.911,0.0365,0.141,122.04
37,59,0,0,2,4682308,81,2,230933,7,0,0.732,0.4,0.317,5.03e-05,0.086,-10.249,0.0317,0.108,107.845
38,59,0,0,2,4682308,81,2,299827,1,1,0.118,0.694,0.823,7.11e-06,0.152,-6.755,0.0917,0.683,95.83
39,71,0,0,2,4682308,81,2,258133,4,1,0.457,0.649,0.531,0.0,0.249,-8.335,0.0363,0.488,78.946
40,66,0,0,2,4682308,81,2,243493,7,1,0.139,0.671,0.727,0.0,0.123,-7.585,0.035,0.801,102.358
41,49,0,0,2,4682308,81,2,265467,9,0,0.469,0.57,0.549,7.91e-06,0.0715,-7.956,0.0312,0.295,136.13
42,69,0,0,2,4682308,81,2,257733,4,1,0.735,0.501,0.378,0.0,0.119,-9.37,0.029,0.178,119.987
43,55,0,0,2,4682308,81,2,232960,5,1,0.18,0.701,0.705,0.0,0.141,-6.18,0.0357,0.71,100.669
44,59,0,0,2,4682308,81,2,263987,5,1,0.677,0.408,0.515,0.0,0.927,-9.472,0.0316,0.316,81.454
45,32,0,1,2,4682308,81,2,285893,10,0,0.39,0.682,0.742,0.0,0.351,-8.515,0.198,0.782,100.04
46,44,0,0,2,4682308,81,2,307000,2,0,0.0067,0.811,0.53,0.0285,0.0801,-8.537,0.0355,0.75,107.853
47,48,0,0,2,4682308,81,2,266560,10,1,0.591,0.477,0.533,0.00685,0.139,-11.049,0.0408,0.18,162.368
48,60,0,0,2,4682308,81,2,248093,9,0,0.0411,0.741,0.752,0.0012,0.0233,-7.009,0.0359,0.942,114.851
49,55,0,1,2,4682308,81,2,257360,10,1,0.586,0.472,0.532,0.0,0.106,-5.882,0.0319,0.152,129.777
50,81,1,0,3,620853,74,2,183907,4,1,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,0.261,146.034
51,78,1,0,4,34554242,96,2,198160,8,1,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,0.0433,0.364,100.049
52,80,1,0,4,34554242,96,2,197547,1,1,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,0.268,145.031
53,82,0,0,4,34554242,96,2,205920,9,0,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,0.354,121.993
54,71,1,0,4,34554242,96,2,208493,4,1,0.248,0.721,0.459,0.0,0.212,-6.408,0.032,0.46,119.914
55,70,1,0,4,34554242,96,2,172107,10,0,0.186,0.71,0.614,0.0,0.0974,-6.757,0.0431,0.658,148.152
56,70,1,0,4,34554242,96,2,245667,10,0,0.375,0.831,0.485,1.47e-05,0.118,-6.677,0.15,0.622,80.022
57,70,1,0,4,34554242,96,2,189507,1,1,0.0217,0.708,0.454,0.0,0.073,-7.07,0.0395,0.24,110.963
58,67,1,0,4,34554242,96,2,73813,4,1,0.43,0.652,0.31,1.16e-05,0.182,-10.212,0.0509,0.304,119.913
59,78,0,0,4,34554242,96,2,244453,9,1,0.0162,0.623,0.734,1.9e-06,0.145,-5.95,0.107,0.372,107.853
60,76,0,0,4,34554242,96,2,235947,4,0,0.0529,0.662,0.602,0.0,0.356,-5.369,0.0401,0.29,133.969
61,69,0,0,4,34554242,96,2,179293,1,0,0.169,0.813,0.456,2.85e-06,0.105,-7.667,0.0685,0.587,108.801
62,79,0,0,4,34554242,96,2,197267,8,1,0.093,0.628,0.593,1.65e-06,0.096,-5.036,0.0323,0.104,125.026
63,58,0,0,4,34554242,96,2,197600,1,1,0.0154,0.725,0.796,0.0,0.354,-3.684,0.0326,0.517,101.976
64,86,1,0,5,16737002,96,0,231267,10,1,0.354,0.68,0.563,0.0,0.136,-5.843,0.0454,0.374,145.028
65,74,1,0,5,16737002,96,0,206453,2,1,0.186,0.601,0.59,0.0,0.0942,-5.001,0.0569,0.274,151.952
66,75,0,0,5,16737002,96,0,221787,0,1,0.0379,0.61,0.554,3.84e-05,0.166,-5.501,0.137,0.244,159.85
67,77,1,0,5,16737002,96,0,204427,5,1,0.414,0.479,0.468,0.0,0.148,-5.396,0.0274,0.35,85.913
68,74,1,0,5,16737002,96,0,246987,4,0,0.131,0.559,0.761,1.6e-06,0.143,-4.041,0.0877,0.24,163.898
69,71,1,0,5,16737002,96,0,204360,5,0,0.143,0.742,0.84,0.0,0.133,-5.198,0.0471,0.287,138.032
70,71,1,0,5,16737002,96,0,216747,5,1,0.597,0.767,0.625,0.0,0.409,-6.193,0.0836,0.577,120.092
71,74,1,0,5,16737002,96,0,211427,7,0,0.269,0.802,0.743,1.36e-06,0.121,-4.82,0.0474,0.877,146.03
72,71,1,0,5,16737002,96,0,228227,9,0,0.354,0.645,0.657,5.17e-06,0.213,-5.688,0.0334,0.136,104.931
73,70,0,0,5,16737002,96,0,261800,11,0,0.135,0.651,0.587,1.07e-05,0.149,-7.307,0.0421,0.317,121.838
74,79,1,0,5,16737002,96,0,227533,4,1,0.627,0.67,0.654,1.02e-06,0.071,-5.944,0.153,0.438,180.024
75,71,1,0,5,16737002,96,0,228147,5,0,0.26,0.6,0.767,0.0,0.0979,-4.232,0.0868,0.291,164.079
76,62,0,0,5,16737002,96,0,112013,0,0,0.751,0.341,0.495,0.462,0.261,-10.251,0.0446,0.252,78.395
77,82,1,0,5,16737002,96,0,223347,8,0,0.0689,0.556,0.538,0.0,0.196,-5.408,0.0382,0.291,143.95
78,78,1,0,5,16737002,96,0,179613,5,1,0.228,0.665,0.498,0.0,0.0757,-8.185,0.0831,0.127,81.967
79,78,1,0,5,16737002,96,0,256533,7,1,0.233,0.675,0.562,0.0,0.0816,-7.678,0.0352,0.309,130.098
80,85,1,0,6,5247495,92,2,239836,6,0,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,0.218,83.903
81,79,1,0,6,5247495,92,2,169999,10,1,0.186,0.736,0.67,0.0,0.114,-6.702,0.311,0.845,130.032
82,80,1,0,6,5247495,92,2,165820,0,1,0.0769,0.671,0.529,0.000335,0.0856,-7.226,0.307,0.203,161.989
83,77,1,0,6,5247495,92,2,175755,1,1,0.0414,0.665,0.651,0.0,0.0896,-5.515,0.156,0.237,163.935
84,77,1,1,6,5247495,92,2,141587,7,1,0.0484,0.656,0.542,0.0,0.126,-7.358,0.323,0.551,166.111
85,61,1,1,6,5247495,92,2,169920,1,1,0.0402,0.732,0.586,2.66e-06,0.121,-7.868,0.232,0.73,76.48
86,62,1,0,6,5247495,92,2,102560,1,0,0.122,0.75,0.387,0.0,0.0993,-10.123,0.487,0.739,143.019
87,36,0,0,7,22782,42,2,186733,8,1,0.883,0.632,0.159,0.0,0.222,-14.056,0.0492,0.644,142.11
88,41,0,0,7,22782,42,2,150267,1,1,0.799,0.834,0.372,0.0,0.275,-11.99,0.0358,0.976,96.628
89,74,0,0,8,1060713,80,3,213387,1,1,0.356,0.616,0.438,0.0,0.24,-5.968,0.0298,0.386,135.929
90,73,0,0,8,1060713,80,3,196747,11,1,0.0312,0.489,0.581,0.0,0.132,-5.731,0.0281,0.494,86.016
91,66,0,0,8,1060713,80,3,192000,11,0,0.208,0.501,0.836,0.0,0.152,-3.587,0.0491,0.618,159.863
92,66,0,0,8,1060713,80,3,253933,9,1,0.333,0.281,0.58,0.0,0.122,-5.967,0.0323,0.282,151.568
93,65,0,0,8,1060713,80,3,186253,4,1,0.151,0.589,0.704,0.0,0.067,-4.772,0.0303,0.437,84.956
94,62,0,0,8,1060713,80,3,217407,6,1,0.319,0.493,0.67,0.0,0.102,-5.131,0.0298,0.451,151.989
95,82,0,0,9,21374353,91,1,189467,2,1,0.217,0.704,0.611,0.0,0.0812,-6.112,0.0409,0.22,100.0
96,82,0,0,9,21374353,91,1,260773,3,1,0.0722,0.383,0.637,0.0,0.368,-6.993,0.0703,0.0827,177.913
97,80,0,0,9,21374353,91,1,201240,10,0,0.0362,0.672,0.655,0.0,0.117,-5.021,0.0311,0.556,134.945
98,84,0,0,9,21374353,91,1,187147,0,1,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,0.288,167.997
99,86,0,0,9,21374353,91,1,204347,10,0,0.0622,0.776,0.78,0.0,0.081,-4.374,0.128,0.666,124.949
100,60,0,0,9,21374353,91,1,192707,1,1,0.367,0.545,0.659,0.00111,0.415,-8.18,0.0394,0.599,108.04
101,75,1,0,10,5001866,86,2,152000,1,1,0.0996,0.91,0.366,0.0,0.261,-9.954,0.0941,0.74,119.985
102,60,1,0,10,5001866,86,2,240000,6,0,0.0369,0.814,0.667,0.0,0.11,-4.785,0.36,0.376,80.031
103,58,1,0,10,5001866,86,2,165517,1,1,0.114,0.66,0.615,0.0,0.315,-7.2,0.47,0.501,174.034
104,63,1,0,10,5001866,86,2,130929,11,0,0.0996,0.715,0.617,3.41e-06,0.186,-5.558,0.24,0.283,176.117
105,69,1,0,10,5001866,86,2,169345,10,0,0.0319,0.804,0.66,0.0,0.103,-4.86,0.0726,0.257,94.053
106,65,1,0,10,5001866,86,2,198110,1,0,0.0252,0.806,0.77,0.0,0.0645,-6.464,0.19,0.406,152.094
107,72,1,0,10,5001866,86,2,268187,11,0,0.0576,0.497,0.489,9.91e-05,0.122,-7.724,0.294,0.231,171.853
108,45,1,0,10,5001866,86,2,186593,1,1,0.153,0.517,0.61,0.0,0.416,-6.373,0.372,0.163,135.498
109,73,1,1,11,8209221,91,2,194184,1,1,0.0595,0.743,0.87,0.0,0.299,-2.188,0.212,0.884,99.075
110,62,1,0,11,8209221,91,2,189909,2,1,0.033,0.879,0.662,0.0,0.716,-6.162,0.309,0.723,117.975
111,62,1,0,11,8209221,91,2,193243,2,0,0.121,0.578,0.577,0.0,0.086,-5.997,0.202,0.154,99.288
112,56,1,0,11,8209221,91,2,269287,9,0,0.0283,0.769,0.55,0.0,0.139,-6.299,0.359,0.36,97.01
113,54,1,0,11,8209221,91,2,208504,2,1,0.0169,0.807,0.571,0.0,0.252,-6.937,0.312,0.0993,139.996
114,54,1,0,11,8209221,91,2,223617,2,1,0.276,0.788,0.765,0.0,0.216,-3.93,0.439,0.667,144.046
115,56,1,0,11,8209221,91,2,223939,1,1,0.00705,0.929,0.598,0.0,0.0549,-5.373,0.156,0.501,96.012
116,56,1,0,11,8209221,91,2,262400,5,0,0.144,0.752,0.703,0.0,0.325,-3.417,0.213,0.641,149.988
117,57,1,0,11,8209221,91,2,212428,9,1,0.479,0.641,0.579,9.58e-05,0.214,-8.278,0.0895,0.421,145.994
118,61,1,0,11,8209221,91,2,316192,11,1,0.0216,0.552,0.562,0.0,0.302,-6.862,0.164,0.439,135.014
119,57,1,0,11,8209221,91,2,240199,5,1,0.337,0.678,0.666,0.0,0.115,-6.949,0.487,0.523,87.634
120,55,1,0,11,8209221,91,2,214314,4,0,0.273,0.754,0.615,0.0,0.13,-5.346,0.171,0.345,140.04
121,55,1,0,11,8209221,91,2,249751,7,1,0.4,0.746,0.644,0.0,0.095,-2.605,0.232,0.542,146.178
122,46,1,0,11,8209221,91,2,312960,2,1,0.00222,0.721,0.738,0.0,0.224,-5.682,0.0649,0.375,135.988
123,59,0,0,11,8209221,91,2,240307,11,1,0.000177,0.644,0.661,5.14e-06,0.108,-6.093,0.0418,0.272,154.001
124,42,1,0,11,8209221,91,2,198280,11,0,0.0114,0.504,0.856,0.0,0.256,-5.024,0.286,0.335,101.866
125,40,1,0,11,8209221,91,2,281080,8,1,0.00953,0.81,0.577,3.48e-06,0.0838,-6.142,0.149,0.408,140.065
126,42,1,0,11,8209221,91,2,255373,2,0,0.689,0.676,0.618,0.00821,0.127,-7.495,0.196,0.466,79.799
127,26,1,0,11,8209221,91,2,248240,11,0,0.00316,0.626,0.866,0.000364,0.171,-4.065,0.0408,0.545,132.031
128,58,1,1,11,8209221,91,2,229227,1,1,0.0719,0.663,0.91,0.0,0.244,-1.629,0.317,0.342,144.993
129,37,1,1,11,8209221,91,2,249307,7,1,0.00263,0.488,0.821,0.000514,0.287,-3.729,0.0482,0.354,159.992
130,20,1,1,11,8209221,91,2,216827,7,1,0.0184,0.539,0.747,0.0,0.0291,-5.064,0.0409,0.522,76.976
131,29,1,1,11,8209221,91,2,217400,7,1,3.52e-05,0.514,0.876,2.56e-05,0.17,-4.828,0.0625,0.365,144.035
132,26,1,1,11,8209221,91,2,200547,7,1,0.00545,0.618,0.512,0.0,0.0868,-7.236,0.0622,0.235,128.977
133,42,1,1,11,8209221,91,2,222867,5,1,0.092,0.83,0.61,0.0,0.109,-5.642,0.153,0.83,128.025
134,72,1,0,11,8209221,91,2,221840,6,1,0.0527,0.679,0.684,0.000895,0.177,-8.559,0.278,0.755,151.748
135,55,1,0,11,8209221,91,2,199427,6,0,0.00114,0.616,0.632,0.0,0.0844,-7.562,0.386,0.47,79.811
136,58,1,1,11,8209221,91,2,316267,7,1,0.05,0.455,0.712,0.0,0.246,-6.139,0.397,0.455,170.935
137,45,1,1,11,8209221,91,2,327267,2,1,0.002,0.513,0.501,6.2e-06,0.186,-10.43,0.189,0.49,105.778
138,53,1,0,11,8209221,91,2,303667,8,0,0.36,0.661,0.746,0.0,0.454,-2.223,0.25,0.678,83.939
139,33,1,0,11,8209221,91,2,239800,9,0,0.0337,0.868,0.794,0.0,0.0862,-4.284,0.307,0.677,97.922
140,40,1,0,11,8209221,91,2,252733,7,1,0.202,0.715,0.943,0.00229,0.0425,-5.271,0.111,0.907,174.074
141,72,0,0,12,80745,70,2,211768,2,1,0.199,0.499,0.797,0.0,0.0933,-3.77,0.0554,0.408,176.024
142,79,0,0,13,907125,77,2,274693,5,1,0.682,0.486,0.632,0.0,0.0869,-6.89,0.0344,0.0791,147.892
143,67,0,0,14,2856240,82,2,178333,1,1,0.0147,0.707,0.531,2.11e-06,0.175,-7.014,0.0273,0.417,106.992
144,68,0,0,14,2856240,82,2,190227,7,1,0.105,0.687,0.842,0.0,0.0436,-4.382,0.058,0.778,87.968
145,71,0,0,14,2856240,82,2,205453,3,1,0.113,0.588,0.408,0.0,0.13,-8.662,0.0237,0.484,85.008
146,68,0,0,14,2856240,82,2,157080,7,1,0.032,0.663,0.738,0.000225,0.0856,-5.48,0.0303,0.825,130.02
147,47,0,0,14,2856240,82,2,227693,2,1,0.0339,0.637,0.869,0.0,0.0198,-5.363,0.039,0.746,95.969
148,61,0,0,14,2856240,82,2,227427,2,1,0.406,0.585,0.413,0.0,0.119,-9.319,0.0402,0.377,165.957
149,43,0,0,14,2856240,82,2,190733,5,0,0.0787,0.687,0.777,0.0,0.204,-5.143,0.0311,0.808,130.014
150,71,0,0,15,11367121,94,2,178467,0,1,0.889,0.455,0.292,0.0,0.106,-6.792,0.0563,0.43,84.339
151,75,0,0,15,11367121,94,2,226973,0,1,0.181,0.637,0.713,0.000637,0.137,-4.333,0.0747,0.243,129.923
152,76,1,0,16,2571569,90,0,154024,10,0,0.00127,0.964,0.487,6.57e-06,0.115,-6.071,0.421,0.107,127.05
153,59,1,0,16,2571569,90,0,159755,5,0,0.0171,0.92,0.458,0.0,0.107,-5.643,0.315,0.403,132.992
154,60,1,0,16,2571569,90,0,169826,1,1,0.106,0.672,0.565,0.0,0.113,-6.504,0.441,0.313,163.827
155,58,1,0,16,2571569,90,0,172986,10,0,0.0562,0.888,0.432,0.0,0.112,-9.275,0.0934,0.173,99.965
156,61,1,0,16,2571569,90,0,173437,8,0,0.00271,0.811,0.646,0.0,0.191,-4.902,0.257,0.386,77.555
157,48,0,0,17,3256680,80,2,192888,3,0,0.0338,0.543,0.868,0.000289,0.19,-4.69,0.0354,0.433,144.07
158,58,0,0,17,3256680,80,2,193306,7,1,0.159,0.547,0.56,0.0,0.103,-5.86,0.0283,0.485,131.855
159,38,0,0,17,3256680,80,2,195307,10,0,0.0207,0.434,0.921,0.00209,0.116,-2.248,0.0688,0.426,171.945
160,49,0,0,17,3256680,80,2,203293,4,1,0.312,0.536,0.722,0.0,0.117,-4.163,0.0284,0.499,143.78
161,36,0,0,17,3256680,80,2,219547,9,1,0.0386,0.482,0.823,3.69e-05,0.0948,-4.446,0.0661,0.451,167.665
162,40,0,0,17,3256680,80,2,194507,6,0,0.0489,0.567,0.839,0.0,0.103,-4.048,0.0698,0.903,160.062
163,37,0,0,17,3256680,80,2,223627,9,1,0.0342,0.454,0.91,0.0,0.895,-5.544,0.21,0.539,174.066
164,36,0,0,17,3256680,80,2,231040,6,0,0.237,0.484,0.754,0.0,0.105,-5.55,0.0532,0.52,169.906
165,32,0,0,17,3256680,80,2,195480,9,0,0.433,0.5,0.81,1.54e-06,0.108,-4.639,0.0887,0.535,167.95
166,43,0,0,17,3256680,80,2,219147,6,1,0.31,0.68,0.788,3.82e-06,0.101,-6.677,0.0466,0.653,135.943
167,24,0,0,17,3256680,80,2,199013,4,1,0.664,0.347,0.414,0.00109,0.344,-7.389,0.0359,0.404,144.313
168,28,0,0,17,3256680,80,2,203093,9,1,0.0693,0.629,0.875,1.92e-05,0.314,-4.739,0.0445,0.687,119.965
169,38,0,0,17,3256680,80,2,171120,0,1,0.0667,0.677,0.754,4.22e-05,0.26,-5.135,0.0372,0.801,113.056
170,48,0,0,17,3256680,80,2,232307,5,1,0.0575,0.493,0.708,0.0,0.175,-5.196,0.0291,0.547,158.037
171,32,0,0,17,3256680,80,2,242680,11,0,0.18,0.595,0.774,0.0,0.109,-6.692,0.0382,0.825,159.918
172,37,0,0,17,3256680,80,2,187613,2,1,0.055,0.464,0.853,0.0,0.191,-3.767,0.0417,0.76,163.934
173,38,0,0,17,3256680,80,2,218200,7,1,0.068,0.477,0.736,0.0,0.102,-3.279,0.0327,0.207,81.575
174,34,0,0,17,3256680,80,2,202467,7,1,0.018,0.511,0.776,3.75e-05,0.0986,-4.371,0.0369,0.447,81.101
175,51,0,0,17,3256680,80,2,229413,2,1,0.32,0.678,0.739,2.36e-06,0.116,-5.068,0.0352,0.658,127.037
176,41,0,0,17,3256680,80,2,284960,0,0,0.0207,0.413,0.891,2.24e-06,0.319,-4.235,0.0656,0.555,176.986
177,70,1,0,18,1311839,76,2,217387,8,0,0.413,0.735,0.453,0.0,0.104,-8.264,0.0602,0.335,115.002
178,67,1,0,18,1311839,76,2,236147,1,1,0.00368,0.739,0.536,0.0,0.0968,-6.501,0.0587,0.193,122.022
179,65,0,0,19,741766,69,2,228480,4,1,0.00204,0.487,0.859,0.0,0.322,-4.403,0.0488,0.377,148.037
180,61,0,0,19,741766,69,2,154707,2,1,0.00825,0.555,0.746,0.0,0.0796,-5.522,0.033,0.712,75.01
181,24,0,0,19,741766,69,2,136013,7,1,0.281,0.695,0.886,0.0,0.0779,-5.378,0.036,0.891,89.992
182,74,0,0,20,14877177,93,0,157777,6,0,0.653,0.735,0.525,0.918,0.101,-2.939,0.0441,0.369,160.147
183,67,1,0,20,14877177,93,0,108035,0,0,0.795,0.712,0.374,0.0,0.187,-10.215,0.511,0.779,133.952
184,66,1,0,20,14877177,93,0,121630,5,1,0.591,0.797,0.293,0.0724,0.148,-7.479,0.08,0.478,80.035
185,61,1,0,20,14877177,93,0,164083,9,0,0.564,0.492,0.712,9.1e-05,0.357,-7.278,0.691,0.23,137.453
186,66,0,0,20,14877177,93,0,150769,0,1,0.774,0.639,0.312,0.469,0.0857,-9.902,0.0301,0.347,103.369
187,62,0,0,20,14877177,93,0,85124,5,1,0.134,0.557,0.338,0.00184,0.14,-9.892,0.0257,0.689,140.935
188,63,0,0,20,14877177,93,0,76974,11,0,0.949,0.593,0.0668,1.31e-05,0.194,-15.268,0.0722,0.19,102.456
189,84,1,0,20,14877177,93,0,166606,8,1,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,0.473,75.023
190,84,1,0,20,14877177,93,0,135090,9,0,0.556,0.921,0.537,0.00404,0.102,-5.723,0.0804,0.711,128.009
191,82,0,0,20,14877177,93,0,121887,11,1,0.883,0.669,0.308,0.0,0.0984,-10.068,0.029,0.52,64.934
