song_id,album_id,track_number,release_date,release_date_precision,song_name,popularity_song,explicit,song_type,artist_id,name,followers,popularity_artist,artist_type,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,main_genre
2xLMifQCjDGFmkHkpNLD9h,41GuZcammIkupMPKH2OJ6I,3,03.08.18,day,SICKO MODE,85,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,312820,8,1,4,0.00513,0.834,0.73,0,0.124,-3.714,0.222,0.446,155.008,pop
7lAK3oHbfEnvUQWosrMMpR,41GuZcammIkupMPKH2OJ6I,12,03.08.18,day,YOSEMITE,78,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,150043,0,1,4,0.283,0.785,0.554,0.0000034,0.116,-6.571,0.0409,0.144,128.047,pop
7wBJfHzpfI3032CSD7CE2m,41GuZcammIkupMPKH2OJ6I,1,03.08.18,day,STARGAZING,77,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,270715,8,1,4,0.00947,0.487,0.789,0.00000405,0.189,-3.69,0.044,0.0564,150.007,pop
1xYpVRspgaLxdJLOTQkTjg,41GuZcammIkupMPKH2OJ6I,5,03.08.18,day,STOP TRYING TO BE GOD,69,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,338438,4,0,4,0.221,0.588,0.567,0,0.135,-3.738,0.0628,0.113,150.009,pop
27a1mYSG5tYg7dmEjWBcmL,41GuZcammIkupMPKH2OJ6I,13,03.08.18,day,CAN`T SAY,74,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,198408,10,0,4,0.201,0.702,0.708,0,0.118,-5.366,0.0547,0.713,147.98,pop
20MuVazoNMv6xjKPnRFOxG,41GuZcammIkupMPKH2OJ6I,8,03.08.18,day,WAKE UP,76,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,231964,11,0,4,0.192,0.741,0.645,0,0.163,-5.116,0.0963,0.488,149.07,pop
4SZepBIPDRwPaHIjAKwRDb,41GuZcammIkupMPKH2OJ6I,4,03.08.18,day,R.I.P. SCREW,68,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,185610,0,0,4,0.389,0.607,0.609,0.000016,0.111,-5.978,0.291,0.556,74.946,pop
6OaVWaGfhXn70ZJfdVcabn,41GuZcammIkupMPKH2OJ6I,6,03.08.18,day,NO BYSTANDERS,70,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,218284,1,1,4,0.0204,0.731,0.811,0,0.411,-3.225,0.0712,0.426,147.045,pop
7KZ5MMVgBVox9ycroB2UrI,41GuZcammIkupMPKH2OJ6I,2,03.08.18,day,CAROUSEL,67,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,180183,5,0,5,0.229,0.428,0.403,0,0.22,-5.914,0.209,0.133,95.387,pop
11kDth1aKUEUMq9r1pqyds,41GuZcammIkupMPKH2OJ6I,9,03.08.18,day,5% TINT,68,TRUE,Solo,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,6313709,94,rapper,196138,4,0,4,0.173,0.712,0.481,0,0.241,-5.415,0.0487,0.062,140,pop
